AlgoType,SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl,UniqueName
iforest,fs1,186,feature 'SpectralSpread' (normal),96,1,2020,3,16,22,0,20200316_220000.WAV,0.69107,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_220000.WAV,yat1_20200316_220000
iforest,fs1,186,feature 'SpectralSpread' (normal),114,1,2020,3,19,22,0,20200319_220000.WAV,0.67574,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200319_220000.WAV,yat1_20200319_220000
iforest,fs1,186,feature 'SpectralSpread' (normal),108,1,2020,3,18,22,0,20200318_220000.WAV,0.64537,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_220000.WAV,yat1_20200318_220000
iforest,fs1,186,feature 'SpectralTonalPowerRatio' (normal),154,1,2020,3,26,14,0,20200326_140000.WAV,0.70062,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200326_140000.WAV,yat1_20200326_140000
iforest,fs1,186,feature 'SpectralTonalPowerRatio' (normal),50,1,2020,3,9,6,0,20200309_060000.WAV,0.67698,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_060000.WAV,yat1_20200309_060000
iforest,fs1,186,feature 'SpectralTonalPowerRatio' (normal),52,1,2020,3,9,14,0,20200309_140000.WAV,0.64667,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_140000.WAV,yat1_20200309_140000
iforest,fs1,186,feature 'TimeZeroCrossingRate' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.69674,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,feature 'TimeZeroCrossingRate' (normal),96,1,2020,3,16,22,0,20200316_220000.WAV,0.65161,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_220000.WAV,yat1_20200316_220000
iforest,fs1,186,feature 'TimeZeroCrossingRate' (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.61647,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,feature 'TimeAcfCoeff' (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.65582,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
