SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn200,AudioUrl,UniqueNames
fs1,186,conc avg feat all (zscore),102,1,2020,3,17,22,0,20200317_220000.WAV,0.51584,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200317_220000.WAV,yat1_20200317_220000
fs1,186,conc avg feat all (zscore),144,1,2020,3,24,22,0,20200324_220000.WAV,0.51446,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_220000.WAV,yat1_20200324_220000
fs1,186,conc avg feat all (zscore),11,1,2020,3,2,18,0,20200302_180000.WAV,0.51021,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200302_180000.WAV,yat1_20200302_180000
fs1,186,conc avg feat all (zscore),42,1,2020,3,7,22,0,20200307_220000.WAV,0.50749,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_220000.WAV,yat1_20200307_220000
fs1,186,conc avg feat all (zscore),108,1,2020,3,18,22,0,20200318_220000.WAV,0.50722,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_220000.WAV,yat1_20200318_220000
fs1,186,conc avg feat all (zscore),60,1,2020,3,10,22,0,20200310_220000.WAV,0.50688,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_220000.WAV,yat1_20200310_220000
fs1,186,conc avg feat all (zscore),52,1,2020,3,9,14,0,20200309_140000.WAV,0.5064,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_140000.WAV,yat1_20200309_140000
fs1,186,conc avg feat all (zscore),94,1,2020,3,16,14,0,20200316_140000.WAV,0.50627,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_140000.WAV,yat1_20200316_140000
fs1,186,conc avg feat all (zscore),74,1,2020,3,13,6,0,20200313_060000.WAV,0.50291,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200313_060000.WAV,yat1_20200313_060000
fs1,186,conc avg feat all (zscore),53,1,2020,3,9,18,0,20200309_180000.WAV,0.49422,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_180000.WAV,yat1_20200309_180000
fs1,186,conc avg feat all (zscore),115,1,2020,3,20,2,0,20200320_020000.WAV,0.48887,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200320_020000.WAV,yat1_20200320_020000
fs1,186,conc avg feat all (zscore),78,1,2020,3,13,22,0,20200313_220000.WAV,0.4846,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200313_220000.WAV,yat1_20200313_220000
fs1,186,conc avg feat all (zscore),168,1,2020,3,28,22,0,20200328_220000.WAV,0.48401,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_220000.WAV,yat1_20200328_220000
fs1,186,conc avg feat all (zscore),72,1,2020,3,12,22,0,20200312_220000.WAV,0.48396,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200312_220000.WAV,yat1_20200312_220000
fs1,186,conc avg feat all (zscore),132,1,2020,3,22,22,0,20200322_220000.WAV,0.48293,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200322_220000.WAV,yat1_20200322_220000
fs1,186,conc avg feat all (zscore),112,1,2020,3,19,14,0,20200319_140000.WAV,0.48199,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200319_140000.WAV,yat1_20200319_140000
fs1,186,conc avg feat all (zscore),148,1,2020,3,25,14,0,20200325_140000.WAV,0.4812,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200325_140000.WAV,yat1_20200325_140000
fs1,186,conc avg feat all (zscore),17,1,2020,3,3,18,0,20200303_180000.WAV,0.48044,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_180000.WAV,yat1_20200303_180000
fs1,186,conc avg feat all (zscore),177,1,2020,3,30,10,0,20200330_100000.WAV,0.47901,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200330_100000.WAV,yat1_20200330_100000
fs1,186,conc avg feat all (zscore),6,1,2020,3,1,22,0,20200301_220000.WAV,0.47873,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200301_220000.WAV,yat1_20200301_220000
fs1,186,conc avg feat all (zscore),85,1,2020,3,15,2,0,20200315_020000.WAV,0.4753,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200315_020000.WAV,yat1_20200315_020000
fs1,186,conc avg feat all (zscore),57,1,2020,3,10,10,0,20200310_100000.WAV,0.47401,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_100000.WAV,yat1_20200310_100000
fs1,186,conc avg feat all (zscore),90,1,2020,3,15,22,0,20200315_220000.WAV,0.47258,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200315_220000.WAV,yat1_20200315_220000
fs1,186,conc avg feat all (zscore),131,1,2020,3,22,18,0,20200322_180000.WAV,0.47248,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200322_180000.WAV,yat1_20200322_180000
fs1,186,conc avg feat all (zscore),87,1,2020,3,15,10,0,20200315_100000.WAV,0.46979,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200315_100000.WAV,yat1_20200315_100000
